!
! Zee cross sections 2011
! by CMS collaboration,
!
&Data
   Name           = 'CMS Zee jets 2012 zy'
   Reaction       = 'FastNLO jets'

   NDATA          = 48
   NColumn        = 8
   ColumnType     = 'Bin' , 'Bin'  , 'Sigma', 'Error', 'Error', 'Error', 'Error', 'Error'
   ColumnName     = 'phistaretalow', 'phistaretahigh', 'Sigma', 'stat',    'bkgr',  'ef',    'trigg',  'lumi'
   NInfo          = 4
   DataInfo       = 13000.     , 1.                 , -1.      , -1.
   CInfo          = 'sqrt(S)' , 'PublicationUnits' , 'MurDef' , 'MufDef'

   IndexDataset   = 842

   TheoryInfoFile = '/storage/a/afriedel/Sherivf/ekpcluster_2016-10-10_18-28/output/phistar.tab'
   TheoryType     = 'FastNLO'

   Percent        = True*5
&End
&PlotDesc
   PlotN = 1
   PlotDefColumn = 'phistaretalow'
   PlotDefValue =  0.02, 5
   PlotOptions(1)  = 'Experiment:CMS@ExtraLabel: CMS Zee jets 2012 phistareta @Title: 2015 @XTitle: |quantity| @YTitle:(#sigma) #sigma'
&End 
0.02  	0.03 	105.153670 2.463754 1.098376 2.311841 0.136733 2.7
0.03  	0.04 	99.000450 2.523831 0.737704 2.316915 0.135584 2.7
0.04  	0.05 	100.428073 2.444694 0.355509 2.313413 0.128232 2.7
0.05  	0.06 	104.971332 2.424559 0.729189 2.316210 0.134429 2.7
0.06  	0.07 	106.218170 2.427794 0.953462 2.314268 0.133225 2.7
0.07  	0.08 	105.655195 2.415423 0.698999 2.314960 0.135430 2.7
0.08  	0.09 	108.010029 2.398236 0.920005 2.312000 0.130121 2.7
0.09  	0.1 	110.905593 2.365084 0.540895 2.313140 0.124086 2.7
0.1  	0.115 	114.513680 1.898756 0.679852 2.310163 0.132014 2.7
0.115  	0.13 	123.313077 1.829037 0.411376 2.312152 0.130104 2.7
0.13  	0.145 	120.088364 1.835102 0.611107 2.308805 0.130286 2.7
0.145  	0.165 	127.728060 1.542311 0.427210 2.309807 0.127678 2.7
0.165  	0.19 	130.404526 1.360169 0.456986 2.307780 0.126473 2.7
0.19  	0.22 	142.245729 1.179466 0.293399 2.306545 0.129173 2.7
0.22  	0.26 	159.020266 0.956508 0.374978 2.305939 0.125780 2.7
0.26  	0.31 	194.532165 0.768581 0.435884 2.323362 0.120787 2.7
0.31  	0.39 	271.464318 0.504350 0.367838 2.399460 0.120268 2.7
0.39  	0.52 	188.963818 0.467578 0.500190 2.398574 0.119390 2.7
0.52  	0.7 	98.760318 0.547493 0.616353 2.386521 0.119136 2.7
0.7  	1.0 	45.629007 0.619579 0.972918 2.340924 0.115077 2.7
1.0  	1.15 	24.295475 1.193564 1.204534 2.283059 0.108682 2.7
1.15  	1.5 1	4.383954 1.012726 1.180247 2.212696 0.105333 2.7
1.5  	2.0 	6.779948 1.228541 1.104386 2.100812 0.097436 2.7
2.0  	2.5 	3.377609 1.743468 1.109636 2.003493 0.090141 2.7
2.5  	3.25 	1.837918 1.932569 1.083813 1.954232 0.089291 2.7
3.25  	5.0 	0.754711 1.968541 1.413842 1.927598 0.094831 2.7
5.0  	10.0 	0.224668 2.168801 1.131408 1.984727 0.095803 2.7
