# --- Use emacs in sh mode -*-sh-*- #
# This is a automatically generated file by fastNLO and holds the values of the warmup run. 
# The values are valid for the scenario zpt
# and if calculated with the steerfile: /var/lib/condor/execute/dir_15285/15292/MCgrid_CMS_2015_Zee/phasespace/zpt.txt
# but only if no serious changes have been performed since its creation.
# 
# Delete this file, if you want fastNLO to calculate a new one.
# 
# This file has been calculated using 6.9e+08 contributions.
#   ( Mind: contributions != events. And contributions are not necessarily in phase space region.
# Please check by eye for reasonability of the values.
 
Warmup.OrderInAlphasOfWarmupRunWas	1
Warmup.CheckScaleLimitsAgainstBins	true
Warmup.ScaleDescriptionScale1     	"Description_[GeV]"
Warmup.DifferentialDimension      	1
Warmup.DimensionLabels {
  "Description_[GeV]"  
} 
Warmup.DimensionIsDifferential {
  "2"  
} 

Warmup.Values {{
   ObsBin       x_min      x_max  Description_[GeV]_min  Description_[GeV]_max
      0      8.28e-04   1.00e+00             91.19             91.19
      1      8.41e-04   1.00e+00             91.19             91.19
      2      8.58e-04   1.00e+00             91.19             91.19
      3      8.62e-04   1.00e+00             91.19             91.19
      4      8.29e-04   1.00e+00             91.19             91.19
      5      8.48e-04   1.00e+00             91.19             91.19
      6      8.70e-04   1.00e+00             91.19             91.19
      7      8.39e-04   1.00e+00             91.19             91.19
      8      8.65e-04   1.00e+00             91.19             91.19
      9      8.79e-04   1.00e+00             91.19             91.19
     10      9.00e-04   1.00e+00             91.19             91.19
     11      8.75e-04   1.00e+00             91.19             91.19
     12      8.54e-04   1.00e+00             91.19             91.19
     13      9.27e-04   1.00e+00             91.19             91.19
     14      9.09e-04   1.00e+00             91.19             91.19
     15      9.09e-04   1.00e+00             91.19             91.19
     16      9.48e-04   1.00e+00             91.19             91.19
     17      9.46e-04   1.00e+00             91.19             91.19
     18      9.31e-04   1.00e+00             91.19             91.19
     19      9.34e-04   1.00e+00             91.19             91.19
     20      9.41e-04   1.00e+00             91.19             91.19
     21      9.60e-04   1.00e+00             91.19             91.19
     22      9.27e-04   1.00e+00             91.19             91.19
     23      9.83e-04   1.00e+00             91.19             91.19
     24      9.82e-04   1.00e+00             91.19             91.19
     25      9.81e-04   1.00e+00             91.19             91.19
     26      1.01e-03   1.00e+00             91.19             91.19
     27      1.00e-03   1.00e+00             91.19             91.19
     28      1.00e-03   1.00e+00             91.19             91.19
     29      1.00e-03   1.00e+00             91.19             91.19
     30      1.03e-03   1.00e+00             91.19             91.19
     31      1.00e-03   1.00e+00             91.19             91.19
     32      1.05e-03   1.00e+00             91.19             91.19
     33      1.06e-03   1.00e+00             91.19             91.19
     34      1.02e-03   1.00e+00             91.19             91.19
     35      1.09e-03   1.00e+00             91.19             91.19
     36      1.09e-03   1.00e+00             91.19             91.19
     37      1.11e-03   1.00e+00             91.19             91.19
     38      1.10e-03   1.00e+00             91.19             91.19
     39      1.09e-03   1.00e+00             91.19             91.19
     40      1.11e-03   1.00e+00             91.19             91.19
     41      1.13e-03   1.00e+00             91.19             91.19
     42      1.10e-03   1.00e+00             91.19             91.19
     43      1.13e-03   1.00e+00             91.19             91.19
     44      1.17e-03   1.00e+00             91.19             91.19
     45      1.18e-03   1.00e+00             91.19             91.19
     46      1.18e-03   1.00e+00             91.19             91.19
     47      1.15e-03   1.00e+00             91.19             91.19
     48      1.19e-03   1.00e+00             91.19             91.19
     49      1.20e-03   1.00e+00             91.19             91.19
     50      1.23e-03   1.00e+00             91.19             91.19
     51      1.19e-03   1.00e+00             91.19             91.19
     52      1.21e-03   1.00e+00             91.19             91.19
     53      1.17e-03   1.00e+00             91.19             91.19
     54      1.22e-03   1.00e+00             91.19             91.19
     55      1.22e-03   1.00e+00             91.19             91.19
     56      1.30e-03   1.00e+00             91.19             91.19
     57      1.29e-03   1.00e+00             91.19             91.19
     58      1.27e-03   1.00e+00             91.19             91.19
     59      1.31e-03   1.00e+00             91.19             91.19
     60      1.32e-03   1.00e+00             91.19             91.19
     61      1.33e-03   1.00e+00             91.19             91.19
     62      1.33e-03   1.00e+00             91.19             91.19
     63      1.35e-03   1.00e+00             91.19             91.19
     64      1.34e-03   1.00e+00             91.19             91.19
     65      1.32e-03   1.00e+00             91.19             91.19
     66      1.37e-03   1.00e+00             91.19             91.19
     67      1.38e-03   1.00e+00             91.19             91.19
     68      1.33e-03   1.00e+00             91.19             91.19
     69      1.41e-03   1.00e+00             91.19             91.19
     70      1.43e-03   1.00e+00             91.19             91.19
     71      1.39e-03   1.00e+00             91.19             91.19
     72      1.45e-03   1.00e+00             91.19             91.19
     73      1.46e-03   1.00e+00             91.19             91.19
     74      1.46e-03   1.00e+00             91.19             91.19
     75      1.49e-03   1.00e+00             91.19             91.19
     76      1.47e-03   1.00e+00             91.19             91.19
     77      1.52e-03   1.00e+00             91.19             91.19
     78      1.53e-03   1.00e+00             91.19             91.19
     79      1.54e-03   1.00e+00             91.19             91.19
     80      1.54e-03   1.00e+00             91.19             91.19
     81      1.51e-03   1.00e+00             91.19             91.19
     82      1.50e-03   1.00e+00             91.19             91.19
     83      1.54e-03   1.00e+00             91.19             91.19
     84      1.54e-03   1.00e+00             91.19             91.19
     85      1.54e-03   1.00e+00             91.19             91.19
     86      1.56e-03   1.00e+00             91.19             91.19
     87      1.60e-03   1.00e+00             91.19             91.19
     88      1.65e-03   1.00e+00             91.19             91.19
     89      1.56e-03   1.00e+00             91.19             91.19
     90      1.63e-03   9.99e-01             91.19             91.19
     91      1.63e-03   1.00e+00             91.19             91.19
     92      1.69e-03   1.00e+00             91.19             91.19
     93      1.68e-03   1.00e+00             91.19             91.19
     94      1.66e-03   1.00e+00             91.19             91.19
     95      1.69e-03   1.00e+00             91.19             91.19
     96      1.69e-03   1.00e+00             91.19             91.19
     97      1.73e-03   1.00e+00             91.19             91.19
     98      1.79e-03   1.00e+00             91.19             91.19
     99      1.65e-03   1.00e+00             91.19             91.19
    100      1.75e-03   1.00e+00             91.19             91.19
    101      1.80e-03   1.00e+00             91.19             91.19
    102      1.84e-03   1.00e+00             91.19             91.19
    103      1.80e-03   1.00e+00             91.19             91.19
    104      1.83e-03   1.00e+00             91.19             91.19
    105      1.83e-03   1.00e+00             91.19             91.19
    106      1.86e-03   1.00e+00             91.19             91.19
    107      1.87e-03   1.00e+00             91.19             91.19
    108      1.87e-03   1.00e+00             91.19             91.19
    109      1.90e-03   9.99e-01             91.19             91.19
    110      1.91e-03   1.00e+00             91.19             91.19
    111      1.90e-03   1.00e+00             91.19             91.19
    112      1.93e-03   1.00e+00             91.19             91.19
    113      2.02e-03   1.00e+00             91.19             91.19
    114      1.97e-03   1.00e+00             91.19             91.19
    115      2.01e-03   1.00e+00             91.19             91.19
    116      2.07e-03   1.00e+00             91.19             91.19
    117      1.98e-03   1.00e+00             91.19             91.19
    118      2.02e-03   1.00e+00             91.19             91.19
    119      2.04e-03   1.00e+00             91.19             91.19
    120      2.05e-03   1.00e+00             91.19             91.19
    121      1.95e-03   1.00e+00             91.19             91.19
    122      2.06e-03   1.00e+00             91.19             91.19
    123      2.11e-03   1.00e+00             91.19             91.19
    124      2.16e-03   1.00e+00             91.19             91.19
    125      2.12e-03   9.99e-01             91.19             91.19
    126      2.14e-03   1.00e+00             91.19             91.19
    127      2.11e-03   1.00e+00             91.19             91.19
    128      2.08e-03   1.00e+00             91.19             91.19
    129      2.17e-03   1.00e+00             91.19             91.19
    130      2.22e-03   1.00e+00             91.19             91.19
    131      2.29e-03   1.00e+00             91.19             91.19
    132      2.19e-03   1.00e+00             91.19             91.19
    133      2.19e-03   1.00e+00             91.19             91.19
    134      2.22e-03   1.00e+00             91.19             91.19
    135      2.20e-03   1.00e+00             91.19             91.19
    136      2.26e-03   1.00e+00             91.19             91.19
    137      2.29e-03   1.00e+00             91.19             91.19
    138      2.27e-03   1.00e+00             91.19             91.19
    139      2.27e-03   1.00e+00             91.19             91.19
    140      2.25e-03   1.00e+00             91.19             91.19
    141      2.35e-03   1.00e+00             91.19             91.19
    142      2.47e-03   1.00e+00             91.19             91.19
    143      2.29e-03   9.99e-01             91.19             91.19
    144      2.35e-03   1.00e+00             91.19             91.19
    145      2.35e-03   1.00e+00             91.19             91.19
    146      2.34e-03   1.00e+00             91.19             91.19
    147      2.51e-03   1.00e+00             91.19             91.19
    148      2.47e-03   1.00e+00             91.19             91.19
    149      2.41e-03   1.00e+00             91.19             91.19
    150      2.53e-03   1.00e+00             91.19             91.19
    151      2.34e-03   1.00e+00             91.19             91.19
    152      2.55e-03   1.00e+00             91.19             91.19
    153      2.59e-03   9.99e-01             91.19             91.19
    154      2.55e-03   1.00e+00             91.19             91.19
    155      2.53e-03   1.00e+00             91.19             91.19
    156      2.83e-03   1.00e+00             91.19             91.19
    157      2.56e-03   1.00e+00             91.19             91.19
    158      2.72e-03   1.00e+00             91.19             91.19
    159      2.64e-03   1.00e+00             91.19             91.19
    160      2.64e-03   1.00e+00             91.19             91.19
