# BEGIN HISTOGRAM /MCgrid_CMS_2015_Zee/d01-x01-y01
Path=/MCgrid_CMS_2015_Zee/d01-x01-y01
Title=
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.044785e+09	4.316698e+05	4.316698e+05
1.000000e+01	2.000000e+01	1.076052e+09	3.249380e+05	3.249380e+05
2.000000e+01	3.000000e+01	4.629963e+08	2.640734e+05	2.640734e+05
3.000000e+01	4.000000e+01	2.396370e+08	2.207952e+05	2.207952e+05
4.000000e+01	5.000000e+01	1.356463e+08	1.732242e+05	1.732242e+05
5.000000e+01	6.000000e+01	7.950098e+07	1.296304e+05	1.296304e+05
6.000000e+01	7.000000e+01	4.893044e+07	9.888595e+04	9.888595e+04
7.000000e+01	8.000000e+01	3.241707e+07	7.856858e+04	7.856858e+04
8.000000e+01	9.000000e+01	2.204001e+07	6.318270e+04	6.318270e+04
9.000000e+01	1.000000e+02	1.536431e+07	5.134898e+04	5.134898e+04
1.000000e+02	1.100000e+02	1.104953e+07	4.299588e+04	4.299588e+04
1.100000e+02	1.200000e+02	8.171808e+06	3.679997e+04	3.679997e+04
1.200000e+02	1.300000e+02	6.071140e+06	3.119174e+04	3.119174e+04
1.300000e+02	1.400000e+02	4.651610e+06	2.771283e+04	2.771283e+04
1.400000e+02	1.500000e+02	3.616568e+06	2.445604e+04	2.445604e+04
1.500000e+02	1.600000e+02	2.773775e+06	2.061421e+04	2.061421e+04
1.600000e+02	1.700000e+02	2.156466e+06	1.766234e+04	1.766234e+04
1.700000e+02	1.800000e+02	1.718097e+06	1.594563e+04	1.594563e+04
1.800000e+02	1.900000e+02	1.398569e+06	1.452207e+04	1.452207e+04
1.900000e+02	2.000000e+02	1.108426e+06	1.272944e+04	1.272944e+04
2.000000e+02	2.100000e+02	8.713005e+05	1.096121e+04	1.096121e+04
2.100000e+02	2.200000e+02	7.156961e+05	9.931093e+03	9.931093e+03
2.200000e+02	2.300000e+02	5.768113e+05	8.963901e+03	8.963901e+03
2.300000e+02	2.400000e+02	4.794382e+05	8.493612e+03	8.493612e+03
2.400000e+02	2.500000e+02	4.031009e+05	7.481093e+03	7.481093e+03
# END HISTOGRAM

# BEGIN HISTOGRAM /MCgrid_CMS_2015_Zee/d02-x01-y01
Path=/MCgrid_CMS_2015_Zee/d02-x01-y01
Title=
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.590691e+04	4.409093e+01	4.409093e+01
1.000000e-01	2.000000e-01	6.584533e+04	4.380223e+01	4.380223e+01
2.000000e-01	3.000000e-01	6.576119e+04	4.430647e+01	4.430647e+01
3.000000e-01	4.000000e-01	6.565135e+04	4.401568e+01	4.401568e+01
4.000000e-01	5.000000e-01	6.550511e+04	4.407887e+01	4.407887e+01
5.000000e-01	6.000000e-01	6.525520e+04	4.388816e+01	4.388816e+01
6.000000e-01	7.000000e-01	6.495667e+04	4.402452e+01	4.402452e+01
7.000000e-01	8.000000e-01	6.466258e+04	4.403780e+01	4.403780e+01
8.000000e-01	9.000000e-01	6.413348e+04	4.405205e+01	4.405205e+01
9.000000e-01	1.000000e+00	6.374429e+04	4.423788e+01	4.423788e+01
1.000000e+00	1.100000e+00	6.327716e+04	4.474899e+01	4.474899e+01
1.100000e+00	1.200000e+00	6.272851e+04	4.467213e+01	4.467213e+01
1.200000e+00	1.300000e+00	6.190290e+04	4.482188e+01	4.482188e+01
1.300000e+00	1.400000e+00	6.009097e+04	4.559558e+01	4.559558e+01
1.400000e+00	1.500000e+00	5.713440e+04	4.506808e+01	4.506808e+01
1.500000e+00	1.600000e+00	5.287296e+04	4.349513e+01	4.349513e+01
1.600000e+00	1.700000e+00	4.807443e+04	4.245737e+01	4.245737e+01
1.700000e+00	1.800000e+00	4.274391e+04	4.184159e+01	4.184159e+01
1.800000e+00	1.900000e+00	3.697141e+04	4.179968e+01	4.179968e+01
1.900000e+00	2.000000e+00	3.098794e+04	3.733095e+01	3.733095e+01
2.000000e+00	2.100000e+00	2.462281e+04	3.448443e+01	3.448443e+01
2.100000e+00	2.200000e+00	1.835456e+04	3.117021e+01	3.117021e+01
2.200000e+00	2.300000e+00	1.209971e+04	2.759437e+01	2.759437e+01
2.300000e+00	2.400000e+00	6.127600e+03	2.153687e+01	2.153687e+01
2.400000e+00	2.500000e+00	1.426734e+03	1.570947e+01	1.570947e+01
# END HISTOGRAM

